x,f,df
-10.000000000,0.000000000,0.000000000
-9.990000000,0.000000000,0.000000000
-9.980000000,0.000000000,0.000000000
-9.970000000,0.000000000,0.000000000
-9.960000000,0.000000000,0.000000000
-9.950000000,0.000000000,0.000000000
-9.940000000,0.000000000,0.000000000
-9.930000000,0.000000000,0.000000000
-9.920000000,0.000000000,0.000000000
-9.910000000,0.000000000,0.000000000
-9.900000000,0.000000000,0.000000000
-9.890000000,0.000000000,0.000000000
-9.880000000,0.000000000,0.000000000
-9.870000000,0.000000000,0.000000000
-9.860000000,0.000000000,0.000000000
-9.850000000,0.000000000,0.000000000
-9.840000000,0.000000000,0.000000000
-9.830000000,0.000000000,0.000000000
-9.820000000,0.000000000,0.000000000
-9.810000000,0.000000000,0.000000000
-9.800000000,0.000000000,0.000000000
-9.790000000,0.000000000,0.000000000
-9.780000000,0.000000000,0.000000000
-9.770000000,0.000000000,0.000000000
-9.760000000,0.000000000,0.000000000
-9.750000000,0.000000000,0.000000000
-9.740000000,0.000000000,0.000000000
-9.730000000,0.000000000,0.000000000
-9.720000000,0.000000000,0.000000000
-9.710000000,0.000000000,0.000000000
-9.700000000,0.000000000,0.000000000
-9.690000000,0.000000000,0.000000000
-9.680000000,0.000000000,0.000000000
-9.670000000,0.000000000,0.000000000
-9.660000000,0.000000000,0.000000000
-9.650000000,0.000000000,0.000000000
-9.640000000,0.000000000,0.000000000
-9.630000000,0.000000000,0.000000000
-9.620000000,0.000000000,0.000000000
-9.610000000,0.000000000,0.000000000
-9.600000000,0.000000000,0.000000000
-9.590000000,0.000000000,0.000000000
-9.580000000,0.000000000,0.000000000
-9.570000000,0.000000000,0.000000000
-9.560000000,0.000000000,0.000000000
-9.550000000,0.000000000,0.000000000
-9.540000000,0.000000000,0.000000000
-9.530000000,0.000000000,0.000000000
-9.520000000,0.000000000,0.000000000
-9.510000000,0.000000000,0.000000000
-9.500000000,0.000000000,0.000000000
-9.490000000,0.000000000,0.000000000
-9.480000000,0.000000000,0.000000000
-9.470000000,0.000000000,-0.000000000
-9.460000000,0.000000000,-0.000000000
-9.450000000,0.000000000,-0.000000000
-9.440000000,0.000000000,-0.000000000
-9.430000000,0.000000000,-0.000000000
-9.420000000,-0.000000000,-0.000000000
-9.410000000,-0.000000000,-0.000000000
-9.400000000,-0.000000000,-0.000000000
-9.390000000,-0.000000000,-0.000000000
-9.380000000,-0.000000000,-0.000000000
-9.370000000,-0.000000000,-0.000000000
-9.360000000,-0.000000000,-0.000000000
-9.350000000,-0.000000000,-0.000000000
-9.340000000,-0.000000000,-0.000000000
-9.330000000,-0.000000000,-0.000000000
-9.320000000,-0.000000000,-0.000000000
-9.310000000,-0.000000000,-0.000000000
-9.300000000,-0.000000000,-0.000000000
-9.290000000,-0.000000000,-0.000000000
-9.280000000,-0.000000000,-0.000000000
-9.270000000,-0.000000000,-0.000000000
-9.260000000,-0.000000000,-0.000000000
-9.250000000,-0.000000000,-0.000000000
-9.240000000,-0.000000000,-0.000000000
-9.230000000,-0.000000000,-0.000000000
-9.220000000,-0.000000000,-0.000000000
-9.210000000,-0.000000000,-0.000000000
-9.200000000,-0.000000000,-0.000000000
-9.190000000,-0.000000000,-0.000000000
-9.180000000,-0.000000000,-0.000000000
-9.170000000,-0.000000000,-0.000000000
-9.160000000,-0.000000000,-0.000000000
-9.150000000,-0.000000000,-0.000000000
-9.140000000,-0.000000000,-0.000000000
-9.130000000,-0.000000000,-0.000000000
-9.120000000,-0.000000000,-0.000000000
-9.110000000,-0.000000000,-0.000000000
-9.100000000,-0.000000000,-0.000000000
-9.090000000,-0.000000000,-0.000000000
-9.080000000,-0.000000000,-0.000000000
-9.070000000,-0.000000000,-0.000000000
-9.060000000,-0.000000000,-0.000000000
-9.050000000,-0.000000000,-0.000000000
-9.040000000,-0.000000000,-0.000000000
-9.030000000,-0.000000000,-0.000000000
-9.020000000,-0.000000000,-0.000000000
-9.010000000,-0.000000000,-0.000000000
-9.000000000,-0.000000000,-0.000000000
-8.990000000,-0.000000000,-0.000000000
-8.980000000,-0.000000000,-0.000000000
-8.970000000,-0.000000000,-0.000000000
-8.960000000,-0.000000000,-0.000000000
-8.950000000,-0.000000000,-0.000000000
-8.940000000,-0.000000000,-0.000000000
-8.930000000,-0.000000000,-0.000000000
-8.920000000,-0.000000000,-0.000000000
-8.910000000,-0.000000000,-0.000000000
-8.900000000,-0.000000000,-0.000000000
-8.890000000,-0.000000000,-0.000000000
-8.880000000,-0.000000000,-0.000000000
-8.870000000,-0.000000000,-0.000000000
-8.860000000,-0.000000000,-0.000000000
-8.850000000,-0.000000000,-0.000000000
-8.840000000,-0.000000000,-0.000000000
-8.830000000,-0.000000000,-0.000000000
-8.820000000,-0.000000000,-0.000000000
-8.810000000,-0.000000000,-0.000000000
-8.800000000,-0.000000000,-0.000000000
-8.790000000,-0.000000000,-0.000000000
-8.780000000,-0.000000000,-0.000000000
-8.770000000,-0.000000000,-0.000000000
-8.760000000,-0.000000000,-0.000000000
-8.750000000,-0.000000000,-0.000000000
-8.740000000,-0.000000000,-0.000000000
-8.730000000,-0.000000000,-0.000000000
-8.720000000,-0.000000000,-0.000000000
-8.710000000,-0.000000000,-0.000000000
-8.700000000,-0.000000000,-0.000000000
-8.690000000,-0.000000000,-0.000000000
-8.680000000,-0.000000000,-0.000000000
-8.670000000,-0.000000000,-0.000000000
-8.660000000,-0.000000000,-0.000000000
-8.650000000,-0.000000000,-0.000000000
-8.640000000,-0.000000000,-0.000000000
-8.630000000,-0.000000000,-0.000000000
-8.620000000,-0.000000000,-0.000000000
-8.610000000,-0.000000000,-0.000000000
-8.600000000,-0.000000000,-0.000000000
-8.590000000,-0.000000000,-0.000000000
-8.580000000,-0.000000000,-0.000000000
-8.570000000,-0.000000000,-0.000000000
-8.560000000,-0.000000000,-0.000000000
-8.550000000,-0.000000000,-0.000000000
-8.540000000,-0.000000000,-0.000000000
-8.530000000,-0.000000000,-0.000000000
-8.520000000,-0.000000000,-0.000000000
-8.510000000,-0.000000000,-0.000000000
-8.500000000,-0.000000000,-0.000000000
-8.490000000,-0.000000000,-0.000000000
-8.480000000,-0.000000000,-0.000000000
-8.470000000,-0.000000000,-0.000000000
-8.460000000,-0.000000000,-0.000000000
-8.450000000,-0.000000000,-0.000000000
